Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/4/16,30/04/2016,N/A,UNI,Upper North Island,905.903
1/4/16,30/04/2016,N/A,CNI,Central North Island,676.112
1/4/16,30/04/2016,N/A,LNI,Lower North Island,426.211
1/4/16,30/04/2016,N/A,USI,Upper South Island,455.591
1/4/16,30/04/2016,N/A,LSI,Lower South Island,724.215
1/5/16,31/05/2016,N/A,UNI,Upper North Island,993.518
1/5/16,31/05/2016,N/A,CNI,Central North Island,709.73
1/5/16,31/05/2016,N/A,LNI,Lower North Island,472.711
1/5/16,31/05/2016,N/A,USI,Upper South Island,499.911
1/5/16,31/05/2016,N/A,LSI,Lower South Island,765.196
1/6/16,30/06/2016,N/A,UNI,Upper North Island,1051.655
1/6/16,30/06/2016,N/A,CNI,Central North Island,735.954
1/6/16,30/06/2016,N/A,LNI,Lower North Island,497.509
1/6/16,30/06/2016,N/A,USI,Upper South Island,506.188
1/6/16,30/06/2016,N/A,LSI,Lower South Island,728.221
1/7/16,31/07/2016,N/A,UNI,Upper North Island,1109.552
1/7/16,31/07/2016,N/A,CNI,Central North Island,788.415
1/7/16,31/07/2016,N/A,LNI,Lower North Island,528.471
1/7/16,31/07/2016,N/A,USI,Upper South Island,537.358
1/7/16,31/07/2016,N/A,LSI,Lower South Island,771.7
1/8/16,31/08/2016,N/A,UNI,Upper North Island,1128.185
1/8/16,31/08/2016,N/A,CNI,Central North Island,798.696
1/8/16,31/08/2016,N/A,LNI,Lower North Island,551.379
1/8/16,31/08/2016,N/A,USI,Upper South Island,560.877
1/8/16,31/08/2016,N/A,LSI,Lower South Island,791.16
1/9/16,30/09/2016,N/A,UNI,Upper North Island,1008.426
1/9/16,30/09/2016,N/A,CNI,Central North Island,725.237
1/9/16,30/09/2016,N/A,LNI,Lower North Island,495.723
1/9/16,30/09/2016,N/A,USI,Upper South Island,488.88
1/9/16,30/09/2016,N/A,LSI,Lower South Island,742.474
1/10/16,31/10/2016,N/A,UNI,Upper North Island,956.735
1/10/16,31/10/2016,N/A,CNI,Central North Island,714.188
1/10/16,31/10/2016,N/A,LNI,Lower North Island,461.729
1/10/16,31/10/2016,N/A,USI,Upper South Island,469.015
1/10/16,31/10/2016,N/A,LSI,Lower South Island,748.895
1/11/16,30/11/2016,N/A,UNI,Upper North Island,935.497
1/11/16,30/11/2016,N/A,CNI,Central North Island,676.16
1/11/16,30/11/2016,N/A,LNI,Lower North Island,441.129
1/11/16,30/11/2016,N/A,USI,Upper South Island,454.752
1/11/16,30/11/2016,N/A,LSI,Lower South Island,720.538
1/12/16,31/12/2016,N/A,UNI,Upper North Island,911.264
1/12/16,31/12/2016,N/A,CNI,Central North Island,677.056
1/12/16,31/12/2016,N/A,LNI,Lower North Island,424.224
1/12/16,31/12/2016,N/A,USI,Upper South Island,501.739
1/12/16,31/12/2016,N/A,LSI,Lower South Island,752.008
1/1/17,31/01/2017,N/A,UNI,Upper North Island,893.983
1/1/17,31/01/2017,N/A,CNI,Central North Island,677.924
1/1/17,31/01/2017,N/A,LNI,Lower North Island,424.277
1/1/17,31/01/2017,N/A,USI,Upper South Island,500.817
1/1/17,31/01/2017,N/A,LSI,Lower South Island,758.407
1/2/17,28/02/2017,N/A,UNI,Upper North Island,854.494
1/2/17,28/02/2017,N/A,CNI,Central North Island,628.046
1/2/17,28/02/2017,N/A,LNI,Lower North Island,393.777
1/2/17,28/02/2017,N/A,USI,Upper South Island,496.422
1/2/17,28/02/2017,N/A,LSI,Lower South Island,695.377
1/3/17,31/03/2017,N/A,UNI,Upper North Island,949.206
1/3/17,31/03/2017,N/A,CNI,Central North Island,698.152
1/3/17,31/03/2017,N/A,LNI,Lower North Island,439.524
1/3/17,31/03/2017,N/A,USI,Upper South Island,475.981
1/3/17,31/03/2017,N/A,LSI,Lower South Island,759.478
1/4/17,30/04/2017,N/A,UNI,Upper North Island,911.916
1/4/17,30/04/2017,N/A,CNI,Central North Island,681.116
1/4/17,30/04/2017,N/A,LNI,Lower North Island,436.141
1/4/17,30/04/2017,N/A,USI,Upper South Island,446.058
1/4/17,30/04/2017,N/A,LSI,Lower South Island,720.094
1/5/17,31/05/2017,N/A,UNI,Upper North Island,1045.103
1/5/17,31/05/2017,N/A,CNI,Central North Island,759.555
1/5/17,31/05/2017,N/A,LNI,Lower North Island,503.949
1/5/17,31/05/2017,N/A,USI,Upper South Island,529.2
1/5/17,31/05/2017,N/A,LSI,Lower South Island,776.605
1/6/17,30/06/2017,N/A,UNI,Upper North Island,1061.591
1/6/17,30/06/2017,N/A,CNI,Central North Island,739.523
1/6/17,30/06/2017,N/A,LNI,Lower North Island,513.962
1/6/17,30/06/2017,N/A,USI,Upper South Island,539.16
1/6/17,30/06/2017,N/A,LSI,Lower South Island,746.065
1/7/17,31/07/2017,N/A,UNI,Upper North Island,1140.612
1/7/17,31/07/2017,N/A,CNI,Central North Island,788.767
1/7/17,31/07/2017,N/A,LNI,Lower North Island,548.233
1/7/17,31/07/2017,N/A,USI,Upper South Island,571.972
1/7/17,31/07/2017,N/A,LSI,Lower South Island,785.088
1/8/17,31/08/2017,N/A,UNI,Upper North Island,1107.704
1/8/17,31/08/2017,N/A,CNI,Central North Island,785.899
1/8/17,31/08/2017,N/A,LNI,Lower North Island,531.735
1/8/17,31/08/2017,N/A,USI,Upper South Island,540.405
1/8/17,31/08/2017,N/A,LSI,Lower South Island,776.736
1/9/17,30/09/2017,N/A,UNI,Upper North Island,1003.005
1/9/17,30/09/2017,N/A,CNI,Central North Island,733.547
1/9/17,30/09/2017,N/A,LNI,Lower North Island,488.798
1/9/17,30/09/2017,N/A,USI,Upper South Island,489.926
1/9/17,30/09/2017,N/A,LSI,Lower South Island,748.759
1/10/17,31/10/2017,N/A,UNI,Upper North Island,986.391
1/10/17,31/10/2017,N/A,CNI,Central North Island,718.406
1/10/17,31/10/2017,N/A,LNI,Lower North Island,457.035
1/10/17,31/10/2017,N/A,USI,Upper South Island,468.191
1/10/17,31/10/2017,N/A,LSI,Lower South Island,761.084
1/11/17,30/11/2017,N/A,UNI,Upper North Island,935.404
1/11/17,30/11/2017,N/A,CNI,Central North Island,681.221
1/11/17,30/11/2017,N/A,LNI,Lower North Island,429.07
1/11/17,30/11/2017,N/A,USI,Upper South Island,542.681
1/11/17,30/11/2017,N/A,LSI,Lower South Island,755.957
1/12/17,31/12/2017,N/A,UNI,Upper North Island,916.174
1/12/17,31/12/2017,N/A,CNI,Central North Island,682.16
1/12/17,31/12/2017,N/A,LNI,Lower North Island,419.898
1/12/17,31/12/2017,N/A,USI,Upper South Island,550.882
1/12/17,31/12/2017,N/A,LSI,Lower South Island,774.539
1/1/18,31/01/2018,N/A,UNI,Upper North Island,932.902
1/1/18,31/01/2018,N/A,CNI,Central North Island,690.722
1/1/18,31/01/2018,N/A,LNI,Lower North Island,424.885
1/1/18,31/01/2018,N/A,USI,Upper South Island,483.059
1/1/18,31/01/2018,N/A,LSI,Lower South Island,768.827
1/2/18,28/02/2018,N/A,UNI,Upper North Island,873.631
1/2/18,28/02/2018,N/A,CNI,Central North Island,630.896
1/2/18,28/02/2018,N/A,LNI,Lower North Island,388.366
1/2/18,28/02/2018,N/A,USI,Upper South Island,422.577
1/2/18,28/02/2018,N/A,LSI,Lower South Island,673.216
1/3/18,31/03/2018,N/A,UNI,Upper North Island,950.463
1/3/18,31/03/2018,N/A,CNI,Central North Island,700.23
1/3/18,31/03/2018,N/A,LNI,Lower North Island,428.663
1/3/18,31/03/2018,N/A,USI,Upper South Island,439.049
1/3/18,31/03/2018,N/A,LSI,Lower South Island,730.146
1/4/18,30/04/2018,N/A,UNI,Upper North Island,925.131
